"var.x"	"var.y"	"prev"	"estimate"	"lower"	"upper"	"se"	"p.value"	"n"	"estimate.infl"	"lower.infl"	"upper.infl"	"se.infl"	"p.value.infl"	"n.infl"	"message"	"q.value"	"q.value.infl"
"hMGS.00094"	"syssd_all"	82.192151556157	-0.114188671845151	-0.156151409368841	-0.0722259343214602	0.0214027027578621	1.01344894029029e-07	3695	-0.111049360266322	-0.152901338450531	-0.0691973820821133	0.0213462089662424	2.0790756392125e-07	3694	NA	2.71604315997797e-05	5.57192271308949e-05
"hMGS.01559"	"syssd_all"	74.722598105548	-0.136930343513099	-0.194742524571131	-0.0791181624550672	0.0294865635558265	3.54332044797545e-06	3695	-0.132656501239742	-0.190322540992038	-0.0749904614874447	0.0294120227576871	6.68224535808804e-06	3694	NA	0.00032337809424492	0.000596947251989198
"hMGS.00033"	"syssd_all"	61.4343707713126	-0.0845761987795571	-0.120318593475154	-0.0488338040839597	0.0182300749347485	3.61990404005507e-06	3695	-0.0830244365951115	-0.11865766222103	-0.0473912109691933	0.0181743925461356	5.08520682777094e-06	3694	NA	0.00032337809424492	0.000596947251989198
"hMGS.00045"	"syssd_all"	61.9756427604871	-0.0850970877614751	-0.123871905198317	-0.0463222703246331	0.0197767338611448	1.73100775516463e-05	3695	-0.0828153870100162	-0.121456463144336	-0.0441743108756967	0.0197085184889753	2.71025089807048e-05	3694	NA	0.0011597751959603	0.00145269448136578
"hMGS.00898"	"syssd_all"	90.7713125845737	-0.138282836670247	-0.20558446721683	-0.0709812061236638	0.0343265687300491	5.73137621771452e-05	3695	-0.141891245740291	-0.209185909137628	-0.0745965823429545	0.0343230119462908	3.64696022724395e-05	3694	NA	0.00307201765269499	0.00162897556816897
"hMGS.01165"	"syssd_all"	77.1853856562923	-0.0967369393702636	-0.145006458384003	-0.0484674203565248	0.0246194178140257	8.68067797494281e-05	3695	-0.0932084643563144	-0.141346790298466	-0.0450701384141633	0.0245525016839935	0.000149314427257286	3694	NA	0.00379151285600421	0.0050020333131191
"hMGS.00013"	"syssd_all"	99.4316644113667	0.177114460190767	0.0880141413264203	0.266214779055114	0.0454447863228119	9.90320522090653e-05	3695	0.186805324698445	0.0973350630621569	0.276275586334732	0.0456334678553663	4.34115610125221e-05	3694	NA	0.00379151285600421	0.00166204262162227
"hMGS.00417"	"syssd_all"	97.8349120433018	0.207815985861117	0.101008980118495	0.314622991603739	0.054475916760103	0.00013858405245601	3695	0.22981695751109	0.123098322118341	0.33653559290384	0.0544308391268682	2.47974091490181e-05	3694	NA	0.00464256575727632	0.00145269448136578
"hMGS.00086"	"syssd_all"	42.8687415426252	-0.0722390484542396	-0.110953269721919	-0.0335248271865603	0.019745827350431	0.000257410126027659	3695	-0.0700681827551818	-0.108647147175838	-0.0314892183345261	0.0196768389919325	0.00037433711210612	3694	NA	0.00766510153060139	0.0091202132767673
"hMGS.00445"	"syssd_all"	60.5142083897158	-0.0875863966568661	-0.135348888712519	-0.0398239046012135	0.0243608134446607	0.000328295013615559	3695	-0.0902618198914695	-0.138019095438208	-0.0425045443447312	0.0243581505034747	0.000214076417358017	3694	NA	0.00879830636489699	0.00637471998354984
