var.x,var.y,estimate,lower,upper,se,p.value,n,message,model
shannon,sbp_m_all,-1.93920234821051,-2.78313304230094,-1.09527165412009,0.430452756828504,6.82836469066364e-06,4062,,crude
shannon,sbp_m_all,-1.60832579415618,-2.49494707181289,-0.721704516499457,0.452212867537003,0.000380607298738208,3694,,multiple
shannon,sbp_m_all,-0.400952336659883,-1.24249939880371,0.440594725483943,0.429223145921856,0.350297432923182,3694,,BMI
shannon,dbp_m_all,-1.09848020135138,-1.67172254888401,-0.525237853818758,0.292386271235471,0.000174480907769808,4062,,crude
shannon,dbp_m_all,-0.874097795427348,-1.47554693268939,-0.272648658165311,0.306763491800869,0.0044049798626174,3694,,multiple
shannon,dbp_m_all,-0.219111824063818,-0.803167809606759,0.364944161479122,0.297892249627254,0.462058656391852,3694,,BMI
shannon,syssd_all,-0.603161532612168,-0.909585095097178,-0.296737970127158,0.156293482572102,0.000115595955139846,4062,,crude
shannon,syssd_all,-0.518834154725057,-0.842293980263697,-0.195374329186416,0.164977650464736,0.00167521708833807,3694,,multiple
shannon,syssd_all,-0.340507546401382,-0.663730403385729,-0.0172846894170347,0.164856771236593,0.0389500481163517,3694,,BMI
shannon,diasd_all,-0.609362185671079,-0.8653862573596,-0.353338113982558,0.13058686956701,3.16787231439442e-06,4062,,crude
shannon,diasd_all,-0.55375149273999,-0.82595227202496,-0.281550713455021,0.138833454653366,6.77948754357464e-05,3694,,multiple
shannon,diasd_all,-0.389545347717934,-0.661031900462012,-0.118058794973855,0.138469156968404,0.00493149033075436,3694,,BMI
shannon,bbps,-1.92021472604499,-3.08846017148002,-0.751969280609972,0.595871672826632,0.00128097210985909,4060,,crude
shannon,bbps,-1.29836613280302,-2.52938183693419,-0.0673504286718463,0.627867955311199,0.0387215632949948,3693,,multiple
shannon,bbps,-0.009190021924437,-1.20816732919319,1.18978728534431,0.61152701496611,0.988010689542496,3693,,BMI
shannon,bbpd,-1.40076583337588,-2.14772553823153,-0.653806128520221,0.380991965862694,0.000239483209172233,4060,,crude
shannon,bbpd,-0.940292068821385,-1.72284413958023,-0.157739998062538,0.399133306701948,0.0185348953448286,3693,,multiple
shannon,bbpd,0.0558432903771586,-0.692979982472264,0.804666563226581,0.381930215031264,0.883761231982971,3693,,BMI
