"var.x"	"var.y"	"prev"	"estimate"	"lower"	"upper"	"se"	"p.value"	"n"	"estimate.infl"	"lower.infl"	"upper.infl"	"se.infl"	"p.value.infl"	"n.infl"	"message"	"q.value"	"q.value.infl"
"hMGS.00094"	"diasd_all"	82.192151556157	-0.0652528556198077	-0.100478536816488	-0.0300271744231271	0.0179665283321374	0.000285279120688287	3695	-0.0630284309402411	-0.0982367944802807	-0.0278200674002015	0.0179576939201926	0.000453934068216978	3694	NA	0.0764548043444608	0.12165433028215
"hMGS.00038"	"diasd_all"	86.0081190798376	0.0569931298974553	0.022240169837785	0.0917460899571256	0.017725421349596	0.00131454245797132	3695	0.0587621282550619	0.0240421705786784	0.0934820859314453	0.0177085871135559	0.000914795273420916	3694	NA	0.176148689368156	0.122582566638403
"hMGS.01559"	"diasd_all"	74.722598105548	-0.0711486664692311	-0.1199257239298	-0.0223716090086624	0.0248782807046519	0.00426271777679491	3695	-0.0680323655094853	-0.116717365287252	-0.0193473657317188	0.0248313251912302	0.00617857868706754	3694	NA	0.290181839821748	0.260974655623986
"hMGS.00332"	"diasd_all"	93.3423545331529	0.0870171303805141	0.0270831785853262	0.146951082175702	0.0305687500256678	0.00444402705973305	3695	0.0913535335676479	0.0313824461052623	0.151324621030033	0.0305876878226932	0.00284004654898305	3694	NA	0.290181839821748	0.190283118781865
"hMGS.00417"	"diasd_all"	97.8349120433018	0.127115789312026	0.0375631677061267	0.216668410917925	0.0456754747854579	0.00541384029518186	3695	0.141967846709042	0.0523299952053095	0.231605698212774	0.0457189411583171	0.00191620953379324	3694	NA	0.290181839821748	0.171181385018863
"hMGS.00609"	"diasd_all"	51.6644113667118	-0.056272298496498	-0.0986410482005566	-0.0139035487924395	0.0216097834334268	0.0092518953045005	3695	-0.0585375366006829	-0.100868945200124	-0.0162061280012421	0.0215907359049757	0.00673540292690352	3694	NA	0.366974080338743	0.260974655623986
"hMGS.00398"	"diasd_all"	44.2219215155616	-0.0464219633435229	-0.081538340793372	-0.0113055858936738	0.0179107789811655	0.00958514388944478	3695	-0.0484734875420613	-0.0835786015906135	-0.0133683734935091	0.0179050324903753	0.00681650219913396	3694	NA	0.366974080338743	0.260974655623986
"hMGS.00065"	"diasd_all"	92.7469553450609	-0.0718844600197448	-0.127963926404285	-0.015804993635205	0.0286028058910589	0.0120079454582394	3695	-0.0673186581101759	-0.123405487828655	-0.0112318283916972	0.0286065587766671	0.0186635587292654	3694	NA	0.368117648146018	0.320767373645528
"hMGS.00445"	"diasd_all"	60.5142083897158	-0.0508605952559568	-0.0908312153910749	-0.0108899751208388	0.0203866399375229	0.0126476189748344	3695	-0.0530601598753601	-0.0929968113842982	-0.013123508366422	0.0203693126259427	0.00922803031177913	3694	NA	0.368117648146018	0.274790235950756
"hMGS.00165"	"diasd_all"	92.6657645466847	0.0744447519210158	0.0143869819844232	0.134502521857608	0.0306319023074692	0.0151351922967377	3695	0.0804026158995739	0.0203978170539131	0.140407414745235	0.0306048819959411	0.00864796552619572	3694	NA	0.368117648146018	0.274790235950756
"hMGS.01167"	"diasd_all"	82.5169147496617	0.0555482503868474	0.0103492967651087	0.100747204008586	0.0230533023987185	0.0160221458962409	3695	0.05322122575397	0.00809089410570715	0.0983515574022329	0.0230183002210439	0.0208273023966625	3694	NA	0.368117648146018	0.320767373645528
"hMGS.00506"	"diasd_all"	52.043301759134	-0.0462814941772584	-0.0844092513365425	-0.00815373701797419	0.0194467049598939	0.0173688302317267	3695	-0.0484467246423686	-0.0865244617222496	-0.0103689875624875	0.0194211908450802	0.012657285112601	3694	NA	0.368117648146018	0.320767373645528
"hMGS.00045"	"diasd_all"	61.9756427604871	-0.0395316135316405	-0.0722393554580336	-0.00682387160524742	0.0166822770216904	0.0178564530817098	3695	-0.0379236681362753	-0.0705625229492458	-0.00528481332330479	0.0166471402162837	0.0227800808253242	3694	NA	0.368117648146018	0.320767373645528
"hMGS.00184"	"diasd_all"	73.234100135318	-0.0481018498704658	-0.0885945279291929	-0.00760917181173858	0.0206529106853665	0.0199114147684119	3695	-0.0504150613027311	-0.0908548984256805	-0.00997522417978161	0.0206259577049219	0.0145632743164588	3694	NA	0.381161368423884	0.320767373645528
"hMGS.00086"	"diasd_all"	42.8687415426252	-0.0376398963814523	-0.0700817689926551	-0.00519802377024949	0.0165466728709193	0.0229786611544381	3695	-0.0392555560813689	-0.071677137756622	-0.00683397440611583	0.0165363221005888	0.0176539492680583	3694	NA	0.39049938189605	0.320767373645528
"hMGS.00023"	"diasd_all"	86.8200270635995	-0.0491059194043537	-0.091713112046716	-0.00649872676199145	0.0217313990178839	0.0239013545007932	3695	-0.0462533190889077	-0.088807054945711	-0.00369958323210438	0.0217041318267512	0.0331503526149693	3694	NA	0.39049938189605	0.349177444879439
"hMGS.00001"	"diasd_all"	94.5872801082544	0.0469321243839075	0.00590182286098415	0.0879624259068309	0.0209271204912059	0.0249807275734741	3695	0.049452321623793	0.00840423673209632	0.0905004065154897	0.0209361887455206	0.0182275461178413	3694	NA	0.39049938189605	0.320767373645528
"hMGS.02666"	"diasd_all"	38.4303112313938	-0.0504249717288862	-0.0948834882478803	-0.00596645520989206	0.0226756493986147	0.0262275704258541	3695	-0.0525870568504323	-0.0970168737105485	-0.00815723999031603	0.0226610092569865	0.0203646829233839	3694	NA	0.39049938189605	0.320767373645528
