genera	positive_size.sbp	positive_estimate.sbp	positive_p.value.sbp	positive_q.value.sbp	positivie_message.sbp	negative_size.sbp	negative_estimate.sbp	negative_p.value.sbp	negative_q.value.sbp	negative_message.sbp	positive_size.dbp	positive_estimate.dbp	positive_p.value.dbp	positive_q.value.dbp	positivie_message.dbp	negative_size.dbp	negative_estimate.dbp	negative_p.value.dbp	negative_q.value.dbp	negative_message.dbp	positive_size.sbp_sd	positive_estimate.sbp_sd	positive_p.value.sbp_sd	positive_q.value.sbp_sd	positivie_message.sbp_sd	negative_size.sbp_sd	negative_estimate.sbp_sd	negative_p.value.sbp_sd	negative_q.value.sbp_sd	negative_message.sbp_sd	positive_size.dbp_sd	positive_estimate.dbp_sd	positive_p.value.dbp_sd	positive_q.value.dbp_sd	positivie_message.dbp_sd	negative_size.dbp_sd	negative_estimate.dbp_sd	negative_p.value.dbp_sd	negative_q.value.dbp_sd	negative_message.dbp_sd
UMGS1071	1	1.65196521522302	0.191808191808192	0.978306541942906							1	1.04434801794514	0.496503496503497	0.999342537804076							1	0.233113817821551	0.876123876123876	0.994514257672152												1	0.177634455618715	0.918081918081918	0.993878073146366	
Massilioclostridium	1	1.6052114827167	0.215784215784216	0.978306541942906							1	1.82393174965066	0.0609390609390609	0.846153846153846							1	1.80663208811702	0.0839160839160839	0.806526806526806							1	1.57665881103329	0.236763236763237	0.941533713810941						
Intestinibacter	2	1.38757257953418	0.225774225774226	0.978306541942906							2	0.922139760571145	0.588411588411588	0.999342537804076							1	0.830467975989277	0.6003996003996	0.994514257672152		1	0	1	1		2	1.14122993754148	0.430569430569431	0.941533713810941						
Ventrimonas	2	1.35603683909023	0.241758241758242	0.978306541942906							2	1.33029998246329	0.254745254745255	0.999342537804076							2	0.556908440149562	0.809190809190809	0.994514257672152							2	1.36636145738398	0.24975024975025	0.941533713810941						
Eubacterium F	2	1.31611393363458	0.25974025974026	0.978306541942906		1	1.87040369546427	0.04995004995005	0.978306541942906		2	1.11866134888959	0.424575424575425	0.999342537804076		1	1.89607157670202	0.0539460539460539	0.846153846153846							3	1.58511241722506	0.051948051948052	0.806526806526806							3	1.12431849056297	0.378621378621379	0.941533713810941	
Eubacterium I	1	1.49611944020198	0.274725274725275	0.978306541942906							1	1.42678532029124	0.290709290709291	0.999342537804076							1	1.50067020222624	0.258741258741259	0.994514257672152							1	1.51027317688452	0.26973026973027	0.941533713810941						
UMGS1766	1	1.48053486269987	0.281718281718282	0.978306541942906							1	1.66213135250423	0.157842157842158	0.999342537804076												1	1.17690327326223	0.420579420579421	0.994514257672152		1	0.0663856341487703	0.947052947052947	0.993878073146366						
Adlercreutzia	1	1.46495028519777	0.287712287712288	0.978306541942906							1	1.32382143119806	0.357642357642358	0.999342537804076							1	1.52980942945393	0.241758241758242	0.994514257672152							1	1.24473064028944	0.374625374625375	0.941533713810941						
CAG-41	1	1.44936570769566	0.296703296703297	0.978306541942906							1	1.22085754210488	0.396603396603397	0.999342537804076							1	1.32583483886007	0.344655344655345	0.994514257672152							1	0.547681481727355	0.721278721278721	0.993745385049733						
Acutalibacter	1	1.43378113019356	0.303696303696304	0.978306541942906							1	1.88276825770391	0.033966033966034	0.846153846153846												1	0.706141963957338	0.656343656343656	0.994514257672152							1	1.21611281154351	0.410589410589411	0.941533713810941	
