BloodPressure,Model1R2,Model2R2,Model3R2,DiffModel2Model1Pvalue,DiffModel3Model2Pvalue
Systolic,0.0558319143010558,0.056232788977025,0.0566568632949566,0.00341414937685868,0.000984070601785536
Diastolic,0.0558319143010558,0.0562608936818235,0.0566295025178895,0.000752996802428852,0.0160946372515244
