"var.x"	"var.y"	"prev"	"estimate"	"lower"	"upper"	"se"	"p.value"	"n"	"estimate.infl"	"lower.infl"	"upper.infl"	"se.infl"	"p.value.infl"	"n.infl"	"message"	"q.value"	"q.value.infl"
"hMGS.00195"	"dbp_m_all"	84.68200270636	-0.166132164879981	-0.251597295357782	-0.0806670344021808	0.0435906882698952	0.000140632288989749	3695	-0.160760286828555	-0.246135110188728	-0.075385463468382	0.0435446238405538	0.000225953518929636	3694	NA	0.0376894534492526	0.0605555430731426
"hMGS.00609"	"dbp_m_all"	51.6644113667118	-0.154182359512105	-0.245176641107886	-0.0631880779163237	0.0464107799427634	0.000902335493136718	3695	-0.159057210917692	-0.249897071515409	-0.0682173503199752	0.0463320145655634	0.000603758071090074	3694	NA	0.12091295608032	0.0809035815260699
"hMGS.00080"	"dbp_m_all"	72.2327469553451	-0.115562402224928	-0.187756606250379	-0.0433681981994779	0.0368219766935716	0.00171252046532797	3695	-0.112110779324165	-0.18414744314571	-0.0400741155026204	0.0367416213044948	0.002295049908214	3694	NA	0.131887088396489	0.123014675080271
"hMGS.00647"	"dbp_m_all"	59.2963464140731	0.113133304959664	0.0407991908841773	0.185467419035151	0.0368933365024535	0.00218203423909193	3695	0.11721539943827	0.0449861539685433	0.189444644907996	0.0368398457587146	0.00147640087312972	3694	NA	0.131887088396489	0.105563652239578
"hMGS.00040"	"dbp_m_all"	89.5263870094723	0.150256094344453	0.0530393235158865	0.247472865173019	0.0495845022186519	0.00246058000739718	3695	0.156739691189879	0.0595770335508678	0.25390234882889	0.0495568975925162	0.00157557689909818	3694	NA	0.131887088396489	0.105563652239578
"hMGS.01559"	"dbp_m_all"	74.722598105548	-0.148841564981606	-0.253667330428122	-0.0440157995350906	0.0534653985629745	0.00539945255348754	3695	-0.141500625867442	-0.24647352965437	-0.0365277220805149	0.0535404400143658	0.00825645836146586	3694	NA	0.228183687267214	0.184394236739404
"hMGS.00002"	"dbp_m_all"	88.0378890392422	0.131648289375516	0.037686010015319	0.225610568735713	0.0479245793672901	0.00604467311872567	3695	0.138026852417879	0.0441185455133415	0.231935159322416	0.0478970466786227	0.00397844197718851	3694	NA	0.228183687267214	0.171877487504679
"hMGS.00275"	"dbp_m_all"	60.7577807848444	0.11562194343202	0.0318946834210682	0.199349203442972	0.0427043037368074	0.00681145335126013	3695	0.120093253055234	0.0365063077477209	0.203680198362748	0.042632733493825	0.00487519838040302	3694	NA	0.228183687267214	0.171877487504679
"hMGS.00030"	"dbp_m_all"	81.4343707713126	0.159215365149498	0.0393213238518139	0.279109406447182	0.0611508313438172	0.00926185522170601	3695	0.168260331776513	0.0482199851661037	0.288300678386923	0.061225447188198	0.00602227925620227	3694	NA	0.231670905725417	0.171877487504679
"hMGS.00967"	"dbp_m_all"	96.617050067659	0.220298583101202	0.0538243854894865	0.386772780712917	0.0849086032222013	0.00951052609467137	3695	0.237709286115918	0.0711484982137992	0.404270074018036	0.0849527597285483	0.00516741600352727	3694	NA	0.231670905725417	0.171877487504679
"hMGS.00004"	"dbp_m_all"	80.9201623815968	0.0862670981484306	0.0208274601382296	0.151706736158632	0.0333768736448418	0.00978745832444206	3695	0.090034621886678	0.0246455629336327	0.155423680839723	0.0333510731071853	0.00697495455320033	3694	NA	0.231670905725417	0.171877487504679
"hMGS.02800"	"dbp_m_all"	88.7144790257104	0.171960006392548	0.0404914173889544	0.303428595396141	0.067054320849919	0.010373324136959	3695	0.180683631123932	0.049274751514423	0.31209251073344	0.0670238602751131	0.00705467299459502	3694	NA	0.231670905725417	0.171877487504679
"hMGS.00898"	"dbp_m_all"	90.7713125845737	-0.15575926323483	-0.277065001671632	-0.0344535247980284	0.0618708542300955	0.0118628260755988	3695	-0.148485320207314	-0.269707515745479	-0.027263124669149	0.0618282380927057	0.0163753230086908	3694	NA	0.240088307199856	0.226687011454615
"hMGS.00094"	"dbp_m_all"	82.192151556157	-0.0957042386625328	-0.171477094883753	-0.0199313824413129	0.0386472346838193	0.0133191639611628	3695	-0.0908673680272723	-0.166586500239934	-0.015148235814611	0.0386198295933649	0.0186831828237409	3694	NA	0.240088307199856	0.226687011454615
"hMGS.04286"	"dbp_m_all"	57.1583220568336	0.103631609975905	0.0201965396126353	0.187066680339175	0.0425552751472927	0.014931190747034	3695	0.0987957136127298	0.0155326809162974	0.182058746309162	0.0424675249200134	0.0200538161352603	3694	NA	0.240088307199856	0.226687011454615
"hMGS.00208"	"dbp_m_all"	55.3721244925575	0.0859032650102219	0.0159881458947446	0.155818384125699	0.0356595508095198	0.0160473167747506	3695	0.0824158943197005	0.0126203332455442	0.152211455393857	0.0355985679746932	0.0206613266278778	3694	NA	0.240088307199856	0.226687011454615
"hMGS.02378"	"dbp_m_all"	66.468200270636	-0.116522448250081	-0.211976719210255	-0.0210681772899074	0.0486855556902922	0.0167457900198635	3695	-0.111564341389674	-0.20701950307797	-0.0161091797013785	0.0486860053791352	0.0219920234993283	3694	NA	0.240088307199856	0.226687011454615
"hMGS.00055"	"dbp_m_all"	82.6522327469553	-0.0969078021448038	-0.176491768033909	-0.0173238362556987	0.0405910554276292	0.0170188893387846	3695	-0.101662308196519	-0.181046836341064	-0.0222777800519735	0.0404893302353427	0.0120881847242466	3694	NA	0.240088307199856	0.223314551898068
"hMGS.05757"	"dbp_m_all"	68.3355886332882	0.076902523508193	0.0131250755544109	0.140679971461975	0.0325290891953288	0.0181263767276601	3695	0.080551137535957	0.0167665777562813	0.144335697315633	0.0325327134291558	0.013332212053616	3694	NA	0.240088307199856	0.223314551898068
